"","X.1","X","time","lat","lon","depth","temp","salt"
"1",1083,1083,"1982-01-15T00:00:00Z",67.25,296.25,5.01,-1.05498158931732,32.049488067627
"2",1084,1084,"1982-01-15T00:00:00Z",67.75,295.25,5.01,-1.16578912734985,31.935375213623
"3",1085,1085,"1982-01-15T00:00:00Z",67.75,295.75,5.01,-1.18073356151581,31.9487113952637
"4",1086,1086,"1982-01-15T00:00:00Z",67.75,296.25,5.01,-1.27349972724915,31.9588088989258
"5",1087,1087,"1982-01-15T00:00:00Z",68.25,295.25,5.01,-1.24238276481628,31.8850173950195
"6",1088,1088,"1982-01-15T00:00:00Z",68.25,295.75,5.01,-1.36912071704865,31.8676128387451
"7",1089,1089,"1982-01-15T00:00:00Z",68.25,296.25,5.01,-1.4445663690567,31.8582248687744
"8",1092,1092,"1982-02-15T00:00:00Z",67.25,296.25,5.01,-1.17452394962311,32.1084899902344
"9",1093,1093,"1982-02-15T00:00:00Z",67.75,295.25,5.01,-1.22848975658417,31.9922142028809
"10",1094,1094,"1982-02-15T00:00:00Z",67.75,295.75,5.01,-1.23648715019226,32.0087509155273
"11",1095,1095,"1982-02-15T00:00:00Z",67.75,296.25,5.01,-1.32365262508392,32.0147666931152
"12",1096,1096,"1982-02-15T00:00:00Z",68.25,295.25,5.01,-1.33973789215088,31.8997535705566
"13",1097,1097,"1982-02-15T00:00:00Z",68.25,295.75,5.01,-1.3568354845047,31.9249114990234
"14",1098,1098,"1982-02-15T00:00:00Z",68.25,296.25,5.01,-1.41467142105103,31.9014358520508
"15",1101,1101,"1982-03-15T00:00:00Z",67.25,296.25,5.01,-1.30104601383209,32.1350173950195
"16",1102,1102,"1982-03-15T00:00:00Z",67.75,295.25,5.01,-1.36768305301666,31.912181854248
"17",1103,1103,"1982-03-15T00:00:00Z",67.75,295.75,5.01,-1.33707022666931,31.9677639007568
"18",1104,1104,"1982-03-15T00:00:00Z",67.75,296.25,5.01,-1.36872088909149,31.9897956848145
"19",1105,1105,"1982-03-15T00:00:00Z",68.25,295.25,5.01,-1.39674043655396,31.9102897644043
"20",1106,1106,"1982-03-15T00:00:00Z",68.25,295.75,5.01,-1.41853165626526,32.0138092041016
"21",1107,1107,"1982-03-15T00:00:00Z",68.25,296.25,5.01,-1.46092510223389,32.138801574707
"22",1110,1110,"1982-04-15T00:00:00Z",67.25,296.25,5.01,-1.38841688632965,32.118839263916
"23",1111,1111,"1982-04-15T00:00:00Z",67.75,295.25,5.01,-1.38091742992401,31.9220657348633
"24",1112,1112,"1982-04-15T00:00:00Z",67.75,295.75,5.01,-1.37531650066376,31.9533805847168
"25",1113,1113,"1982-04-15T00:00:00Z",67.75,296.25,5.01,-1.37788093090057,32.0016593933105
"26",1114,1114,"1982-04-15T00:00:00Z",68.25,295.25,5.01,-1.38429236412048,31.9341735839844
"27",1115,1115,"1982-04-15T00:00:00Z",68.25,295.75,5.01,-1.40295231342316,32.074634552002
